,cum_excess_net,cum_excess_gross,daily_cost
2020-06-17,0.0048851967,0.006885171,0.002
2020-06-18,0.014205337,0.017328143,0.0010966666666666666
2020-06-19,0.01893127,0.023981333,0.0018800000000000002
2020-06-22,0.015660644,0.022619486,0.0018800000000000002
2020-06-23,0.013017893,0.021240354,0.0012533333333333333
2020-06-24,-0.0023067594,0.0077112913,0.0018800000000000002
2020-06-29,-0.032764852,-0.021000266,0.0020366666666666667
2020-06-30,-0.044089317,-0.03031522,0.002193333333333333
2020-07-01,-0.072027326,-0.05683279,0.0018800000000000002
2020-07-02,-0.09859288,-0.08146912,0.0025066666666666666
2020-07-03,-0.09727353,-0.07839781,0.0018800000000000002
2020-07-06,-0.09919256,-0.078480005,0.0020366666666666667
2020-07-07,-0.087271154,-0.06440765,0.0020366666666666667
2020-07-08,-0.05446446,-0.028727114,0.002193333333333333
2020-07-09,-0.051069677,-0.022653043,0.0026633333333333335
2020-07-10,-0.02660054,0.0048457384,0.00235
2020-07-13,-0.0058732033,0.028446674,0.002193333333333333
2020-07-14,-0.0056764483,0.03042245,0.0017233333333333332
2020-07-15,0.004074216,0.042787075,0.002193333333333333
2020-07-16,0.008588433,0.05057931,0.0029766666666666665
2020-07-17,0.018268108,0.062308073,0.0015666666666666667
2020-07-20,0.030664325,0.07707107,0.0017233333333333332
2020-07-21,0.043521762,0.09253228,0.0018800000000000002
2020-07-22,0.04790938,0.09900868,0.0017233333333333332
2020-07-23,0.058825254,0.11235094,0.0017233333333333332
2020-07-24,0.057150006,0.11285651,0.0020366666666666667
2020-07-27,0.04731834,0.10407591,0.0014099999999999998
2020-07-28,0.03347838,0.090869665,0.0012533333333333333
2020-07-29,0.032182217,0.09103966,0.0014099999999999998
2020-07-30,0.014560103,0.07378006,0.0012533333333333333
2020-07-31,0.009916544,0.070715904,0.0017233333333333332
2020-08-03,-0.0051252246,0.056446075,0.0015666666666666667
2020-08-04,-0.018588841,0.044135332,0.0018800000000000002
2020-08-05,-0.016894996,0.04757321,0.0015666666666666667
2020-08-06,-0.027144134,0.038621426,0.0018800000000000002
2020-08-07,-0.02131325,0.046473622,0.0015666666666666667
2020-08-10,-0.037344575,0.03047955,0.0010966666666666666
2020-08-11,-0.03568977,0.03402686,0.0017233333333333332
2020-08-12,-0.034472287,0.03711438,0.0017233333333333332
2020-08-13,-0.049606085,0.022158384,0.0012533333333333333
2020-08-14,-0.022349954,0.052593708,0.0010966666666666666
2020-08-17,0.0027014017,0.08071983,0.0010966666666666666
2020-08-18,0.019830108,0.100874424,0.0015666666666666667
2020-08-19,0.045401096,0.13123691,0.0025066666666666666
2020-08-20,0.069589496,0.159361,0.0017233333333333332
2020-08-21,0.0941335,0.18759966,0.0014099999999999998
2020-08-24,0.09459579,0.19014812,0.0017233333333333332
2020-08-25,0.112643,0.21238124,0.002193333333333333
2020-08-26,0.13074398,0.23495388,0.00235
2020-08-27,0.13848996,0.2451551,0.0014099999999999998
2020-08-28,0.15032744,0.26083267,0.002193333333333333
2020-08-31,0.1434437,0.25644815,0.0025066666666666666
2020-09-01,0.13737929,0.25194967,0.0017233333333333332
2020-09-02,0.114224434,0.22861993,0.0017233333333333332
2020-09-03,0.09153986,0.20610869,0.0020366666666666667
2020-09-04,0.09584594,0.21313429,0.0018800000000000002
2020-09-07,0.11558068,0.23764205,0.002193333333333333
2020-09-08,0.14210176,0.26900387,0.0015666666666666667
2020-09-09,0.1562289,0.28688753,0.0017233333333333332
2020-09-10,0.15213549,0.28495252,0.0020366666666666667
2020-09-11,0.15363932,0.28904533,0.0018800000000000002
2020-09-14,0.140993,0.27733815,0.0018800000000000002
2020-09-15,0.13539004,0.27386725,0.002193333333333333
2020-09-16,0.1361028,0.27706182,0.0018800000000000002
2020-09-17,0.14421356,0.28877985,0.0020366666666666667
2020-09-18,0.1540538,0.3018824,0.0015666666666666667
2020-09-21,0.18318081,0.3367802,0.0015666666666666667
2020-09-22,0.17982197,0.33507967,0.0015666666666666667
2020-09-23,0.18890488,0.34786785,0.0018800000000000002
2020-09-24,0.19978845,0.3640077,0.0028199999999999996
2020-09-25,0.21445179,0.38260126,0.0014099999999999998
2020-09-28,0.24825168,0.42346382,0.0017233333333333332
2020-09-29,0.27541053,0.45666492,0.0015666666666666667
2020-09-30,0.29531574,0.48190916,0.0017233333333333332
2020-10-09,0.30143178,0.49169207,0.0018800000000000002
2020-10-12,0.32810557,0.5257709,0.00235
2020-10-13,0.3430034,0.5457543,0.0018800000000000002
2020-10-14,0.34693253,0.55172956,0.0009400000000000001
