,cum_excess_net,cum_excess_gross,daily_cost
2020-06-17,0.007286787,0.009786725,0.0025
2020-06-18,0.02028501,0.024836779,0.002
2020-06-19,0.041512847,0.048550606,0.0023333333333333335
2020-06-22,0.051626444,0.06100428,0.002166666666666667
2020-06-23,0.058778048,0.07087219,0.0025
2020-06-24,0.07197142,0.086714864,0.0023333333333333335
2020-06-29,0.03834617,0.055162787,0.0023333333333333335
2020-06-30,0.012700319,0.03261876,0.003333333333333333
2020-07-01,0.0009008646,0.024201393,0.0034999999999999996
2020-07-02,0.0071926117,0.03354132,0.002833333333333333
2020-07-03,-0.0036234856,0.0265764,0.004
2020-07-06,0.029812217,0.06359208,0.0025
2020-07-07,0.027719498,0.06497598,0.003333333333333333
2020-07-08,0.035549045,0.07646167,0.0031666666666666666
2020-07-09,0.02592349,0.07004404,0.003333333333333333
2020-07-10,0.0048886538,0.051136494,0.002833333333333333
2020-07-13,-0.033447325,0.0140144825,0.002833333333333333
2020-07-14,-0.047105193,0.0027279854,0.003
2020-07-15,-0.043481886,0.010050297,0.0034999999999999996
2020-07-16,-0.032756865,0.024742365,0.003333333333333333
2020-07-17,-0.04327625,0.01581788,0.002166666666666667
2020-07-20,-0.023277044,0.040776968,0.0036666666666666666
2020-07-21,-0.03128612,0.035191536,0.002833333333333333
2020-07-22,-0.03608471,0.032996774,0.002833333333333333
2020-07-23,-0.034543216,0.037403345,0.0026666666666666666
2020-07-24,-0.027392685,0.04768014,0.0025
2020-07-27,-0.02666825,0.05107975,0.0025
2020-07-28,-0.028665662,0.052075982,0.003
2020-07-29,-0.033564925,0.049925685,0.003
2020-07-30,-0.056432664,0.028582096,0.003333333333333333
2020-07-31,-0.074644506,0.011300802,0.0025
2020-08-03,-0.09830606,-0.012030125,0.0025
2020-08-04,-0.118256986,-0.03076142,0.0031666666666666666
2020-08-05,-0.11830366,-0.02758193,0.003333333333333333
2020-08-06,-0.1289252,-0.036541164,0.002833333333333333
2020-08-07,-0.13212216,-0.03815025,0.002
2020-08-10,-0.14802629,-0.054013073,0.0018333333333333333
2020-08-11,-0.1494239,-0.05335766,0.0023333333333333335
2020-08-12,-0.13775629,-0.038163483,0.0023333333333333335
2020-08-13,-0.14492238,-0.044554234,0.0016666666666666666
