,cum_excess_net,cum_excess_gross,daily_cost
2020-06-17,0.026409507,0.028909445,0.0025
2020-06-18,0.049945474,0.053531528,0.001
2020-06-19,0.070022464,0.07578409,0.002
2020-06-22,0.08849144,0.09542835,0.001
2020-06-23,0.081074476,0.09037411,0.0022
2020-06-24,0.066347,0.07704651,0.0014000000000000002
2020-06-29,0.02487576,0.03645158,0.0012000000000000001
2020-06-30,-0.0005452037,0.012816429,0.002
2020-07-01,-0.037196994,-0.02270484,0.0015999999999999999
2020-07-02,-0.089060366,-0.07358968,0.0018
2020-07-03,-0.08443999,-0.06685269,0.0022
2020-07-06,-0.090225816,-0.07125664,0.0015999999999999999
2020-07-07,-0.071822226,-0.051169097,0.0014000000000000002
2020-07-08,-0.024603784,-0.0013818145,0.0015999999999999999
2020-07-09,-0.009909391,0.015859365,0.0022
2020-07-10,0.006772995,0.034804463,0.0018
2020-07-13,0.030706406,0.062301636,0.0028000000000000004
2020-07-14,0.036384106,0.06942809,0.0012000000000000001
2020-07-15,0.035596013,0.07139528,0.0026000000000000003
2020-07-16,0.027624488,0.06486237,0.0015999999999999999
2020-07-17,0.017275095,0.05605471,0.0018
2020-07-20,0.016701937,0.057571888,0.002
2020-07-21,0.012948155,0.05557084,0.0018
2020-07-22,0.02399373,0.07003677,0.0028000000000000004
2020-07-23,0.04182434,0.09080911,0.002
2020-07-24,0.06430328,0.11565399,0.0012000000000000001
2020-07-27,0.0524292,0.10521519,0.0018
2020-07-28,0.039765954,0.09368515,0.0015999999999999999
2020-07-29,0.039862514,0.09553647,0.0015999999999999999
2020-07-30,0.017290473,0.07350874,0.0015999999999999999
2020-07-31,0.017499208,0.07523191,0.0014000000000000002
2020-08-03,0.019232154,0.07856846,0.0014000000000000002
2020-08-04,0.02120471,0.08216584,0.0014000000000000002
2020-08-05,0.01763618,0.08054876,0.002
2020-08-06,0.010615587,0.07503915,0.0018
2020-08-07,0.018993378,0.08567107,0.0015999999999999999
2020-08-10,0.0075341463,0.07519913,0.0015999999999999999
2020-08-11,0.0059548616,0.07544923,0.0018
2020-08-12,0.00021493435,0.07167876,0.0022
2020-08-13,-0.0049754977,0.06761789,0.0014000000000000002
2020-08-14,0.018377662,0.0941695,0.0014000000000000002
2020-08-17,0.04925084,0.1293099,0.0018
2020-08-18,0.05167532,0.13462973,0.0024000000000000002
2020-08-19,0.071000814,0.15911043,0.0031999999999999997
2020-08-20,0.08245492,0.17428863,0.0024000000000000002
2020-08-21,0.102258205,0.19765091,0.0015999999999999999
2020-08-24,0.12184286,0.22180498,0.0024000000000000002
2020-08-25,0.14113438,0.24452603,0.0014000000000000002
2020-08-26,0.1496464,0.2560495,0.0018
2020-08-27,0.15076673,0.25953436,0.0018
2020-08-28,0.14488006,0.25561035,0.002
2020-08-31,0.1159085,0.22634804,0.002
2020-09-01,0.06642878,0.17344308,0.0012000000000000001
2020-09-02,0.0050816536,0.10828674,0.002
2020-09-03,-0.026572526,0.07493377,0.0014000000000000002
2020-09-04,-0.030928135,0.071413875,0.0012000000000000001
2020-09-07,-0.017333806,0.08837247,0.0018
2020-09-08,0.023426533,0.13504112,0.0014000000000000002
2020-09-09,0.038171053,0.15411782,0.0024000000000000002
2020-09-10,0.035200834,0.1526624,0.0015999999999999999
2020-09-11,0.026005983,0.14449906,0.0018
2020-09-14,0.008872628,0.12744701,0.0018
2020-09-15,0.0035640001,0.12399483,0.0022
2020-09-16,0.0072164536,0.12965918,0.0014000000000000002
2020-09-17,0.010541439,0.13564765,0.002
2020-09-18,0.017591238,0.14516008,0.0014000000000000002
2020-09-21,0.03598559,0.16700566,0.001
2020-09-22,0.043502927,0.17710757,0.0014000000000000002
2020-09-23,0.0632751,0.20176554,0.002
2020-09-24,0.07451558,0.216393,0.0015999999999999999
2020-09-25,0.07483864,0.21919143,0.002
2020-09-28,0.091860056,0.24020565,0.0014000000000000002
2020-09-29,0.10958552,0.26207566,0.0014000000000000002
2020-09-30,0.119529724,0.2749009,0.0012000000000000001
2020-10-09,0.14165735,0.3016293,0.0012000000000000001
2020-10-12,0.13960814,0.30085492,0.0012000000000000001
2020-10-13,0.14010751,0.30350637,0.0015999999999999999
2020-10-14,0.14984679,0.31672716,0.0015999999999999999
2020-10-15,0.14956522,0.31798482,0.0012000000000000001
2020-10-16,0.14456725,0.31357265,0.001
2020-10-19,0.12900901,0.29729342,0.0012000000000000001
2020-10-20,0.1272018,0.29677343,0.0012000000000000001
2020-10-21,0.14474177,0.31876755,0.0014000000000000002
2020-10-22,0.18266821,0.36483335,0.0018
2020-10-23,0.22508776,0.41569757,0.0014000000000000002
2020-10-26,0.2543471,0.45120823,0.0012000000000000001
2020-10-27,0.25914097,0.45965695,0.002
2020-10-28,0.27545428,0.48090363,0.0015999999999999999
2020-10-29,0.28683913,0.4964919,0.0015999999999999999
2020-10-30,0.2763487,0.48638737,0.0014000000000000002
2020-11-02,0.24896932,0.45777237,0.0022
2020-11-03,0.22306108,0.4304483,0.002
2020-11-04,0.19426966,0.39849126,0.0012000000000000001
2020-11-05,0.19604003,0.40308166,0.0018
2020-11-06,0.22367954,0.43747008,0.0014000000000000002
2020-11-09,0.21875596,0.43427384,0.0018
2020-11-10,0.20839572,0.42495012,0.002
2020-11-11,0.17360246,0.38648653,0.0018
2020-11-12,0.16111898,0.37395704,0.0015999999999999999
2020-11-13,0.1496247,0.36337852,0.0022
2020-11-16,0.13785613,0.35242128,0.0022
2020-11-17,0.13612103,0.35252285,0.0015999999999999999
2020-11-18,0.11800182,0.33284605,0.0014000000000000002
2020-11-19,0.09833038,0.31126034,0.0014000000000000002
2020-11-20,0.091261744,0.30544388,0.002
2020-11-23,0.07872963,0.29280198,0.0018
