instrument,datetime,score,label
SH600000,2020-06-17,0.29014495,0.0095124245
SH600004,2020-06-17,0.15489833,-0.024167657
SH600009,2020-06-17,0.21656452,0.0055555105
SH600010,2020-06-17,-0.041616786,-0.060542822
SH600011,2020-06-17,0.09394996,-0.0071174502
SH600015,2020-06-17,0.06471445,0.0064958334
SH600016,2020-06-17,0.31605875,0.0053663254
SH600018,2020-06-17,0.091801584,-0.0033898354
SH600019,2020-06-17,0.22367044,-0.039420784
SH600023,2020-06-17,0.38940462,-0.0017452836
SH600025,2020-06-17,0.35274118,0.038860083
SH600027,2020-06-17,0.1300144,-0.011725366
SH600028,2020-06-17,0.05905665,-0.009984732
SH600029,2020-06-17,-0.13812912,0.0
SH600030,2020-06-17,0.024799045,0.050742984
SH600031,2020-06-17,0.24859089,-0.037397385
SH600036,2020-06-17,0.3240098,0.00030064583
SH600038,2020-06-17,-0.078229055,-0.004927337
SH600048,2020-06-17,-0.02359699,0.008896947
SH600050,2020-06-17,-0.0993076,0.0051879883
SH600061,2020-06-17,-0.07418762,0.07392776
SH600066,2020-06-17,0.12565148,0.031588078
SH600068,2020-06-17,-0.14487423,-0.010027111
SH600085,2020-06-17,0.1705349,0.011754036
SH600089,2020-06-17,-0.18629004,-0.00576514
SH600100,2020-06-17,-0.17945397,0.0026818514
SH600104,2020-06-17,0.04453517,0.019621015
SH600109,2020-06-17,-0.26282883,0.06861806
SH600111,2020-06-17,0.053710084,-0.007363677
SH600115,2020-06-17,-0.10897842,-0.010186791
SH600118,2020-06-17,-0.123576686,-0.043446183
SH600153,2020-06-17,-0.052471567,-0.028409898
SH600170,2020-06-17,-0.038670827,0.0
SH600176,2020-06-17,-0.023931045,0.0
SH600177,2020-06-17,0.20543025,-0.009901464
SH600183,2020-06-17,-0.38308403,0.011849284
SH600188,2020-06-17,0.14858715,-0.016485453
SH600196,2020-06-17,0.041522313,-0.029998302
SH600208,2020-06-17,-0.0330513,-0.003411293
SH600219,2020-06-17,0.24761967,-0.014393449
SH600221,2020-06-17,-0.19619353,-0.04339248
SH600233,2020-06-17,0.13203,-0.12084669
SH600271,2020-06-17,-0.064466015,-0.01365459
SH600276,2020-06-17,0.11596607,0.040873528
SH600297,2020-06-17,0.03515589,0.009332657
SH600299,2020-06-17,-0.32913613,-0.008237183
SH600309,2020-06-17,0.18515012,0.029217124
SH600332,2020-06-17,0.048264306,-0.010176599
SH600340,2020-06-17,0.009540271,0.030540824
SH600346,2020-06-17,-0.03402892,0.011743784
SH600352,2020-06-17,-0.08894645,-0.013985097
SH600362,2020-06-17,-0.13193373,-0.0023507476
SH600369,2020-06-17,-0.087872565,0.033834696
SH600372,2020-06-17,0.14229065,-0.00075149536
SH600383,2020-06-17,-0.036865998,0.0128291845
SH600390,2020-06-17,0.101050645,0.01724565
SH600398,2020-06-17,0.13061577,0.0
SH600406,2020-06-17,-0.033302564,0.020175338
SH600436,2020-06-17,0.34562397,0.07747984
SH600438,2020-06-17,0.17265104,0.15672517
SH600482,2020-06-17,-0.1270436,-0.017132938
SH600487,2020-06-17,-0.009140436,-0.014246106
SH600489,2020-06-17,-0.32073262,0.03463888
SH600498,2020-06-17,-0.31386787,-0.03888184
SH600516,2020-06-17,-0.15261883,-0.019728899
SH600519,2020-06-17,0.31291896,0.04526937
SH600522,2020-06-17,0.07767366,-0.023293912
SH600535,2020-06-17,-0.037995506,-0.008685708
SH600547,2020-06-17,-0.037246738,0.040190935
SH600566,2020-06-17,-0.0731124,-0.021288812
SH600570,2020-06-17,0.24780652,0.114360094
SH600583,2020-06-17,-0.031892125,-0.010672748
SH600585,2020-06-17,-0.06384884,-0.007873654
SH600588,2020-06-17,-0.057323847,0.11139369
SH600606,2020-06-17,0.21136364,0.008894801
SH600637,2020-06-17,-0.056444515,-0.023141205
SH600655,2020-06-17,-0.04904588,0.029238343
SH600660,2020-06-17,0.05651239,0.0056802034
SH600663,2020-06-17,-0.137968,-0.006299913
SH600674,2020-06-17,0.17068706,0.0032082796
SH600690,2020-06-17,-0.12355225,0.043073058
SH600703,2020-06-17,-0.37251678,0.030646086
SH600705,2020-06-17,-0.06653817,0.025842428
SH600733,2020-06-17,0.069473915,-0.058949947
SH600741,2020-06-17,0.057748776,0.009203672
SH600760,2020-06-17,-0.18986972,0.0037897825
SH600795,2020-06-17,-0.007769797,-0.010700762
SH600809,2020-06-17,0.42519137,0.04298222
SH600816,2020-06-17,-0.45759085,0.057213187
SH600837,2020-06-17,-0.15875953,0.080610275
SH600848,2020-06-17,-0.101136625,-0.008451879
SH600867,2020-06-17,0.021356445,0.010306001
SH600886,2020-06-17,0.23112835,0.0063695908
SH600887,2020-06-17,0.17863198,0.05403638
SH600893,2020-06-17,-0.12489666,0.016573787
SH600900,2020-06-17,0.17900948,0.049473047
SH600919,2020-06-17,0.087736115,0.009216666
SH600926,2020-06-17,0.2332953,0.0031546354
SH600928,2020-06-17,0.14469044,0.010889292
SH600958,2020-06-17,-0.009464029,0.047619104
SH600968,2020-06-17,0.20563832,-0.012552321
SH600977,2020-06-17,0.094417736,0.022472024
SH600989,2020-06-17,-0.03549232,-0.021715522
SH600998,2020-06-17,0.13458769,-0.009605169
SH600999,2020-06-17,0.1014484,0.18857348
SH601006,2020-06-17,0.2211252,-0.00317204
SH601009,2020-06-17,0.17966793,0.008101225
SH601012,2020-06-17,0.0404553,0.14284825
SH601018,2020-06-17,0.12828772,0.021686792
SH601021,2020-06-17,0.13468356,-0.01623857
SH601066,2020-06-17,-0.041620675,0.12615478
SH601088,2020-06-17,0.21787816,-0.018750072
SH601108,2020-06-17,-0.19662698,0.03835094
SH601111,2020-06-17,-0.13373785,0.0
SH601117,2020-06-17,-0.19653736,-0.011164248
SH601138,2020-06-17,-0.051698554,0.0776099
SH601155,2020-06-17,0.016971227,-0.015601277
SH601162,2020-06-17,-0.21690358,0.015804648
SH601166,2020-06-17,0.19464484,0.005849719
SH601169,2020-06-17,0.29600632,0.0041941404
SH601186,2020-06-17,-0.16858034,-0.017142892
SH601198,2020-06-17,-0.069881395,0.047920346
SH601211,2020-06-17,0.005394023,0.057979107
SH601212,2020-06-17,-0.24470071,-0.0076628327
SH601216,2020-06-17,0.035886776,0.0040872097
SH601225,2020-06-17,0.113385454,0.0012034178
SH601229,2020-06-17,0.38888344,-0.006989777
SH601236,2020-06-17,-0.2282298,-0.017797053
SH601238,2020-06-17,0.032773446,-0.0006557107
SH601288,2020-06-17,0.4178553,0.0057252645
SH601298,2020-06-17,-0.048785422,-0.013179541
SH601318,2020-06-17,0.16417105,-0.015518963
SH601319,2020-06-17,0.051168736,0.030063272
SH601328,2020-06-17,0.22186771,0.0021231174
SH601336,2020-06-17,0.13993338,-0.008677721
SH601360,2020-06-17,-0.095320955,0.010279417
SH601377,2020-06-17,-0.18382151,0.06381428
SH601390,2020-06-17,-0.03182021,-0.0133779645
SH601398,2020-06-17,0.4657195,0.005423069
SH601555,2020-06-17,-0.06016044,0.034663796
SH601577,2020-06-17,0.29227176,-0.0012239814
SH601600,2020-06-17,0.048046898,-0.020833373
SH601601,2020-06-17,-0.02736776,-0.009732366
SH601607,2020-06-17,-0.14254814,0.0
SH601618,2020-06-17,0.11116059,-0.0069444776
SH601628,2020-06-17,0.041611437,0.022870898
SH601633,2020-06-17,-0.061114784,0.0010179281
SH601668,2020-06-17,0.03485779,-0.0118919015
SH601669,2020-06-17,0.013040971,-0.009456217
SH601688,2020-06-17,0.18021753,0.065642476
SH601698,2020-06-17,-0.0058051236,-0.007786393
SH601727,2020-06-17,-0.29512316,0.02154398
SH601766,2020-06-17,-0.23588498,-0.008784711
SH601788,2020-06-17,-0.018514972,0.33908474
SH601800,2020-06-17,0.017040383,-0.018537581
SH601808,2020-06-17,0.001691442,-0.009026349
SH601818,2020-06-17,0.19631629,0.013059735
SH601828,2020-06-17,0.14315611,-0.03086418
SH601838,2020-06-17,0.48067153,0.0071173906
SH601857,2020-06-17,0.0030813701,-0.006956458
SH601877,2020-06-17,0.068681955,0.06303084
SH601878,2020-06-17,-0.123873636,0.03781092
SH601881,2020-06-17,-0.026957553,0.18029547
SH601888,2020-06-17,0.22132264,-0.013815045
SH601898,2020-06-17,0.052427594,-0.019565225
SH601899,2020-06-17,-0.08233245,0.0544554
SH601901,2020-06-17,-0.12887569,0.02920723
SH601919,2020-06-17,0.07255949,-0.021798372
SH601933,2020-06-17,0.036638927,0.013984323
SH601939,2020-06-17,0.35061756,0.0063005686
SH601985,2020-06-17,0.11068548,-0.004514694
SH601988,2020-06-17,0.29464492,0.0
SH601989,2020-06-17,-0.051662643,-0.011695921
SH601992,2020-06-17,-0.13575545,-0.013235331
SH601997,2020-06-17,0.20036109,-0.0008841753
SH601998,2020-06-17,0.15372193,0.0013440847
SH603019,2020-06-17,0.03599177,0.0030574799
SH603156,2020-06-17,0.047217015,-0.01994592
SH603160,2020-06-17,-0.06778042,0.11345327
SH603259,2020-06-17,0.23258571,0.1319685
SH603260,2020-06-17,-0.21501304,0.027850747
SH603288,2020-06-17,-0.050090645,0.06146705
SH603501,2020-06-17,-0.1464529,0.1303519
SH603799,2020-06-17,-0.44964927,-0.004638076
SH603833,2020-06-17,0.16163462,0.03057766
SH603899,2020-06-17,-0.035378117,0.021685839
SH603986,2020-06-17,-0.15023078,0.10283387
SH603993,2020-06-17,-0.32847318,-0.021259904
SZ000001,2020-06-17,0.07417433,0.0031334162
SZ000002,2020-06-17,-0.1140949,0.01969862
SZ000063,2020-06-17,-0.28118035,-0.06299788
SZ000069,2020-06-17,0.0093784295,0.020007133
SZ000100,2020-06-17,-0.25690034,0.0015448332
SZ000157,2020-06-17,-0.04587326,-0.024955511
SZ000166,2020-06-17,0.15190256,0.086206794
SZ000333,2020-06-17,0.37787196,0.03196323
SZ000338,2020-06-17,0.043459814,-0.003674984
SZ000413,2020-06-17,-0.2938667,-0.018081725
SZ000415,2020-06-17,0.045860093,-0.029274344
SZ000423,2020-06-17,0.10666148,0.027338505
SZ000425,2020-06-17,-0.23996569,-0.029705107
SZ000538,2020-06-17,0.07935238,0.04812014
SZ000568,2020-06-17,0.2338248,0.028588057
SZ000596,2020-06-17,0.25127086,0.04409492
SZ000625,2020-06-17,0.28618795,-0.013941586
SZ000627,2020-06-17,0.091788396,0.035299897
SZ000629,2020-06-17,-0.0027097054,-0.032866716
SZ000630,2020-06-17,0.007243406,-0.015372872
SZ000651,2020-06-17,0.059684243,-0.014467299
SZ000656,2020-06-17,0.2907993,0.02560103
SZ000661,2020-06-17,-0.002974216,0.11034131
SZ000671,2020-06-17,0.10393785,-0.0015106797
SZ000703,2020-06-17,0.17470093,-0.014409959
SZ000709,2020-06-17,-0.13401623,-0.050955415
SZ000723,2020-06-17,-0.13523409,-0.013856888
SZ000725,2020-06-17,-0.29627475,-0.00452286
SZ000728,2020-06-17,-0.05682933,0.08655906
SZ000768,2020-06-17,0.018068936,0.05357647
SZ000776,2020-06-17,-0.0026925094,0.055860758
SZ000783,2020-06-17,-0.017786708,0.050082564
SZ000786,2020-06-17,-0.16935542,0.004204154
SZ000858,2020-06-17,0.39084435,0.0790472
SZ000876,2020-06-17,-0.2459851,-0.014575303
SZ000895,2020-06-17,0.2353908,0.0513345
SZ000898,2020-06-17,0.19237934,-0.042091906
SZ000938,2020-06-17,-0.28424728,0.016258597
SZ000961,2020-06-17,-0.04762985,0.033927083
SZ000963,2020-06-17,-0.17249598,0.030349493
SZ001979,2020-06-17,-0.23193066,-0.0021539927
SZ002001,2020-06-17,-0.15053628,0.028061867
SZ002007,2020-06-17,0.04100101,0.007975221
SZ002008,2020-06-17,-0.2532999,0.012880087
SZ002010,2020-06-17,0.027008515,-0.013894737
SZ002024,2020-06-17,-0.010356087,-0.0066685677
SZ002027,2020-06-17,0.03619046,0.0612489
SZ002032,2020-06-17,0.120127305,0.05512631
SZ002044,2020-06-17,-0.091533124,0.15055943
SZ002050,2020-06-17,0.17209093,0.13603854
SZ002081,2020-06-17,-0.025292892,-0.005057454
SZ002120,2020-06-17,0.18654977,-0.11928332
SZ002142,2020-06-17,0.0060563497,0.023450851
SZ002146,2020-06-17,0.047552418,0.012516141
SZ002153,2020-06-17,0.050348412,0.048385024
SZ002179,2020-06-17,-0.124331206,0.02607441
SZ002202,2020-06-17,0.22083993,-0.019647837
SZ002230,2020-06-17,-0.1807204,0.045742154
SZ002236,2020-06-17,-0.25772253,0.005795479
SZ002241,2020-06-17,-0.08186264,0.040610075
SZ002252,2020-06-17,-0.11140531,-0.019754589
SZ002271,2020-06-17,0.29323372,-0.014609158
SZ002294,2020-06-17,0.18625255,0.1369034
SZ002304,2020-06-17,0.21604322,0.01681006
SZ002311,2020-06-17,0.0984222,0.00039613247
SZ002352,2020-06-17,0.25545493,-0.01372391
SZ002410,2020-06-17,-0.3180243,0.08114195
SZ002411,2020-06-17,-0.30102518,-0.03177893
SZ002415,2020-06-17,-0.06944217,0.008997917
SZ002422,2020-06-17,0.22554879,-0.025856495
SZ002456,2020-06-17,-0.55525464,0.025819302
SZ002460,2020-06-17,-0.23723044,-0.002403617
SZ002466,2020-06-17,-0.24686424,0.03449166
